sku_code,name,mrp
HS05067,BRAKE PEDAL SHN BS6 COMBI,535.00
HS05059,BRAKE PEDAL SHN PC,310.00
SU05025,BRAKE PEDAL SKI,240.00
HH05158,BRAKE PEDAL SPL COMBI BRAKE,285.00
HH05086,BRAKE PEDAL SPL PRO PC,300.00
HH05027,BRAKE PEDAL SPL/CD-DWN/PESS,245.00
HH05164,BRAKE PEDAL SPL/CD-DWN/PESS BS6,330.00
SU05032,BRAKE PEDAL STR,305.00
SU05091,BRAKE PEDAL STR CITY +,310.00
SU05039,BRAKE PEDAL STR SPORT,340.00
SU05088,BRAKE PEDAL STR SPORT BS6,430.00
SU05087,BRAKE PEDAL STR110/ES BLACK,445.00
HH05171,BRAKE PEDAL SU-SPL BS6 COMBI BRAKE,625.00
HH05032,BRAKE PEDAL SU-SPL/GLMR,265.00
HS05025,BRAKE PEDAL UNCN,280.00
HS05063,BRAKE PEDAL UNCN BS6,740.00
SU05027,BRAKE PEDAL VIC/VIC GL,310.00
KB05051,BRAKE ROD 4-S/BXR,78.00
SU05060,BRAKE ROD APCHE/RTR,80.00
HH05053,BRAKE ROD BARREL HH,10.50
BU05050,BRAKE ROD BULLET,125.00
BU05054,BRAKE ROD BULLET CLASSIC,135.00
BU05055,BRAKE ROD BULLET ELECTRA,110.00
HH05057,BRAKE ROD CBEZ XTREAM/HANK,135.00
HH05067,BRAKE ROD CDE-DLX/PESS/ISMART BS6,80.00
KB05164,BRAKE ROD CETE 100 BS6,150.00
KB05058,BRAKE ROD CETE 100/PLTNA/EFZ,80.00
HS05053,BRAKE ROD DRM YUGA/NEO,80.00
KB05087,BRAKE ROD DSVR 100/DSVR,80.00
KB05092,BRAKE ROD DSVR 150,80.00
RX05053,BRAKE ROD EFZ,75.00
HH05050,BRAKE ROD HH,78.00
SU05065,BRAKE ROD JIVE/PHONX/STR+,90.00
HS05068,BRAKE ROD NUT AKTIVA COMBI,25.00
KB05179,BRAKE ROD NUT CT100 BS6,9.00
HH05052,BRAKE ROD NUT HH,8.00
KB05178,BRAKE ROD NUT PLTN BS6,9.00
HS05069,BRAKE ROD NUT SHN BS6,9.00
TV05027,BRAKE ROD NUT S-XL,9.00
HS05064,BRAKE ROD NUT UNCN/CBZ,11.00
HH05073,BRAKE ROD PESS X-PRO/ISMART,80.00
KB05069,BRAKE ROD PLSR 135,100.00
KB05063,BRAKE ROD PLSR 200,125.00
KB90029,BRAKE ROD PLSR BS6,155.00
KB05048,BRAKE ROD PLSR DTSI A/W/150/180/UG3,80.00
KB05166,BRAKE ROD PLTN BS6/COMFORT,150.00
KB05057,BRAKE ROD PLTNA A/W,80.00
KB05158,BRAKE ROD PLTNA ES/ DSVR M,80.00
RX05050,BRAKE ROD RX /CRX /YBEEX,80.00
HS05066,BRAKE ROD SHN BS6,142.00
HS05052,BRAKE ROD SHN/TWSTR/DREAM YOGA,82.00
SU05050,BRAKE ROD SKI,68.00
HH05085,BRAKE ROD SPL BS6 COMBI,80.00
HH05166,BRAKE ROD SPL PRO,80.00
HH05051,BRAKE ROD SPL/CD DX BS6/PRO,80.00
SU05061,BRAKE ROD STR SPORT/100,80.00
SU05048,BRAKE ROD STR/STR CITY,80.00
HH05063,BRAKE ROD SU-SPL/GLAM,82.00
HH05167,BRAKE ROD SU-SPL/GLAM BS6,140.00
HS05050,BRAKE ROD UNCN/UNCN BS6,130.00
SU05054,BRAKE ROD VIC,80.00
HS40015,BUTTON HEAD LIGHT AKTIVA,45.00
HS41020,BUTTON HORN AKTIVA,38.00
HS44109,BUTTON INDICATOR AKTIVA,40.00
HS09001,CABLE HOLDER DRM-YGA/SHN,5.00
HH09002,CABLE HOLDER SEPLDR,5.00
TV09002,CABLE HOLDER S-XL,5.00
HS09014,CAM SHAFT HOLDER AKTIVA,700.00
SU09019,CAM SHAFT PATTI ACSS 125,37.50
KB09009,CAM SHAFT W/BEARING 4-S/BXR/BOX CT/AT/CLBR,660.00
SU09022,CAM SHAFT W/BEARING ACSS 125 NEW,970.00
